11:36,301,1,1,-0.6,1,26,22,0,
11:38,301,2,2,0,1,33,25,1,
11:39,301,1,3,-0.6,2,25,13,0,
11:40,301,2,4,0.6,1,27,10,0,
11:40,301,1,5,0.6,1,37.99999,33.99999,1,
11:41,301,2,6,0.2,1,41.99999,33.99999,1,
11:42,301,1,7,-0.6,3,34,36.99998,1,
11:42,301,2,8,-0.6,1,49.99998,51.99997,1,
11:43,301,1,9,0.2,1,18.00001,17,1,
11:44,301,2,10,0.2,2,32,11,1,34.00002,100,4.000025,12.00003,
11:44,301,1,11,-0.2,1,21.00001,15,1,
11:45,301,2,12,0.4,1,40.99999,40.99998,1,
11:48,301,1,13,0.2,2,34,18,1,
11:48,301,2,14,0.6,2,57.99997,55.99997,0,
11:53,301,1,15,0,1,41.99999,38.99998,1,
11:53,301,2,16,-0.2,1,36.99999,13,1,
11:54,301,1,17,0.2,3,19.00001,7,1,
11:54,301,2,18,-0.2,2,52.99998,25,1,
11:55,301,1,19,-0.4,1,23.00001,21,0,
11:56,301,2,20,-0.2,3,23.00001,14,1,27.00002,98.00004,15.00003,2.518296E-05,
11:56,301,1,21,-0.6,4,5.000006,7,0,
11:57,301,2,22,0,2,35.99999,41.99998,1,
11:58,301,1,23,-0.2,2,20.00001,17,1,
11:59,301,2,24,0,3,34,38.99998,1,
12:4,301,1,25,0.2,4,50.99998,12,1,
12:5,301,2,26,0.6,3,55.99998,55.99997,0,
12:5,301,1,27,0.2,5,37.99999,9.000001,1,
12:6,301,2,28,0.2,3,33,36.99999,1,
12:6,301,1,29,-0.4,2,26,5,0,
12:7,301,2,30,-0.4,1,41.99999,35.99999,1,17.00003,100,3.000025,2.000025,
12:8,301,1,31,-0.6,5,35,12,1,
12:8,301,2,32,-0.4,2,57.99997,43.99998,1,
12:9,301,1,33,0,2,14.00001,7,1,
12:10,301,2,34,-0.4,3,36.99999,19,0,
12:10,301,1,35,0.4,1,42.99999,27,0,
12:11,301,2,36,-0.4,4,36.99999,23,1,
12:12,301,1,37,-0.4,3,17.00001,7,1,
12:13,301,2,38,-0.6,2,47.99998,43.99998,0,
12:13,301,1,39,0.4,2,35.99999,12,0,
12:14,301,2,40,0.2,4,39.99999,36.99998,0,23.00003,98.00004,10.00003,4,
12:15,301,1,41,-0.2,3,49.99998,44.99998,1,
12:15,301,2,42,-0.6,3,46.99998,21,0,
12:20,301,1,43,0.6,2,55.99998,23,0,
12:20,301,2,44,0.4,2,58.99997,59.99997,0,
12:21,301,1,45,0.4,3,48.99998,35.99999,0,
12:22,301,2,46,0.6,4,60.99997,62.99996,0,
12:23,301,1,47,0.6,3,55.99998,42.99998,0,
12:23,301,2,48,0.4,3,45.99998,27,0,
12:24,301,1,49,0,3,39.99999,12,1,
12:25,301,2,50,-0.2,4,34,20,1,15.00003,100,0,5.000025,
12:25,301,1,51,0.6,4,24.00001,12,0,
12:26,301,2,52,-0.2,5,39.99999,46.99998,0,
12:26,301,1,53,0.4,4,24.00001,21,0,
12:27,301,2,54,-0.4,5,21.00001,20,1,
12:27,301,1,55,0.4,5,38.99999,31.99999,0,
12:28,301,2,56,0,4,13.00001,11,1,
12:35,301,1,57,-0.4,4,51.99998,27.99999,1,
12:37,301,2,58,0.4,4,66.99996,62.99996,0,
12:37,301,1,59,0,4,44.99998,44.99998,1,
12:38,301,2,60,0.2,5,50.99998,44.99998,1,21.00003,94.00002,6.000025,2.518296E-05,
12:38,301,1,61,-0.2,4,30,21,1,
12:39,301,2,62,0.6,5,33,39.99998,1,
12:40,301,1,63,-0.4,5,21.00001,14,1,
12:40,301,2,64,-0.6,4,25,29.99999,0,
12:41,301,1,65,0.6,5,28,38.99998,0,
12:41,301,2,66,-0.6,5,37.99999,26,0,
12:42,301,1,67,0,5,22.00001,18,1,
12:43,301,2,68,0,5,50.99998,51.99997,1,
12:43,301,1,69,-0.2,5,40.99999,43.99998,1,
12:45,301,2,70,0.4,5,63.99997,65.99996,0,25.00002,100,6.000025,41.00001,
